"Date","Video Views","Profile Views","Likes","Comments","Shares"
"May 21","0","0","0","0","0"
"May 22","0","0","0","0","0"
"May 23","0","0","0","0","0"
"May 24","0","0","0","0","0"
"May 25","0","0","0","0","0"
"May 26","0","0","0","0","0"
"May 27","0","0","0","0","0"
"May 28","0","0","0","0","0"
"May 29","0","0","0","0","0"
"May 30","0","0","0","0","0"
"May 31","0","0","0","0","0"
"June 1","0","0","0","0","0"
"June 2","0","0","0","0","0"
"June 3","0","0","0","0","0"
"June 4","0","0","0","0","0"
"June 5","0","0","0","0","0"
"June 6","0","0","0","0","0"
"June 7","0","0","0","0","0"
"June 8","0","0","0","0","0"
"June 9","0","0","0","0","0"
"June 10","0","0","0","0","0"
"June 11","0","0","0","0","0"
"June 12","0","0","0","0","0"
"June 13","0","0","0","0","0"
"June 14","0","0","0","0","0"
"June 15","0","0","0","0","0"
"June 16","0","0","0","0","0"
"June 17","1","0","0","0","0"
"June 18","0","0","0","0","0"
"June 19","0","0","0","0","0"
"June 20","0","0","0","0","0"
"June 21","0","0","0","0","0"
"June 22","0","0","0","0","0"
"June 23","0","0","0","0","0"
"June 24","1","0","0","0","0"
"June 25","0","0","0","0","0"
"June 26","0","0","0","0","0"
"June 27","0","0","0","0","0"
"June 28","0","0","0","0","0"
"June 29","0","0","0","0","0"
"June 30","0","0","0","0","0"
"July 1","0","0","0","0","0"
"July 2","1","0","0","0","0"
"July 3","0","0","0","0","0"
"July 4","0","0","0","0","0"
"July 5","2","0","0","0","0"
"July 6","0","0","0","0","0"
"July 7","0","0","0","0","0"
"July 8","0","0","0","0","0"
"July 9","0","0","0","0","0"
"July 10","1","0","0","0","0"
"July 11","0","0","0","0","0"
"July 12","0","0","0","0","0"
"July 13","0","0","0","0","0"
"July 14","2","0","0","0","0"
"July 15","0","0","0","0","0"
"July 16","0","0","0","0","0"
"July 17","0","0","0","0","0"
"July 18","0","0","0","0","0"
"July 19","0","0","0","0","0"
"July 20","0","0","0","0","0"
"July 21","0","0","0","0","0"
"July 22","0","0","0","0","0"
"July 23","0","0","0","0","0"
"July 24","0","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","0","0","0","0","0"
"July 27","0","0","0","0","0"
"July 28","0","0","0","0","0"
"July 29","0","0","0","0","0"
"July 30","0","0","0","0","0"
"July 31","0","0","0","0","0"
"August 1","0","0","0","0","0"
"August 2","0","0","0","0","0"
"August 3","0","0","0","0","0"
"August 4","0","0","0","0","0"
"August 5","0","0","0","0","0"
"August 6","0","0","0","0","0"
"August 7","0","0","0","0","0"
"August 8","0","0","0","0","0"
"August 9","0","0","0","0","0"
"August 10","0","0","0","0","0"
"August 11","0","0","0","0","0"
"August 12","0","0","0","0","0"
"August 13","0","0","0","0","0"
"August 14","0","0","0","0","0"
"August 15","0","0","0","0","0"
"August 16","1","0","0","0","0"
"August 17","0","0","0","0","0"
"August 18","0","0","0","0","0"
"August 19","0","0","0","0","0"
"August 20","0","0","0","0","0"
"August 21","0","0","0","0","0"
"August 22","0","0","0","0","0"
"August 23","0","0","0","0","0"
"August 24","0","0","0","0","0"
"August 25","0","0","0","0","0"
"August 26","0","0","0","0","0"
"August 27","0","0","0","0","0"
"August 28","0","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","0","0","0","0","0"
"August 31","0","0","0","0","0"
"September 1","0","0","0","0","0"
"September 2","0","0","0","0","0"
"September 3","0","0","0","0","0"
"September 4","0","0","0","0","0"
"September 5","0","0","0","0","0"
"September 6","0","0","0","0","0"
"September 7","0","0","0","0","0"
"September 8","0","0","0","0","0"
"September 9","0","0","0","0","0"
"September 10","0","0","0","0","0"
"September 11","0","0","0","0","0"
"September 12","0","0","0","0","0"
"September 13","0","0","0","0","0"
"September 14","0","0","0","0","0"
"September 15","0","0","0","0","0"
"September 16","0","0","0","0","0"
"September 17","0","0","0","0","0"
"September 18","0","0","0","0","0"
"September 19","0","0","0","0","0"
"September 20","0","0","0","0","0"
"September 21","0","0","0","0","0"
"September 22","0","0","0","0","0"
"September 23","0","0","0","0","0"
"September 24","0","0","0","0","0"
"September 25","0","0","0","0","0"
"September 26","0","0","0","0","0"
"September 27","0","0","0","0","0"
"September 28","0","0","0","0","0"
"September 29","0","0","0","0","0"
"September 30","0","0","0","0","0"
"October 1","85","0","2","0","0"
"October 2","4","0","0","0","0"
"October 3","0","0","0","0","0"
"October 4","0","0","0","0","0"
"October 5","1","0","0","0","0"
"October 6","0","0","0","0","0"
"October 7","0","0","0","0","0"
"October 8","0","0","0","0","0"
"October 9","0","0","0","0","0"
"October 10","0","0","0","0","0"
"October 11","0","0","0","0","0"
"October 12","0","0","0","0","0"
"October 13","0","0","0","0","0"
"October 14","0","0","0","0","0"
"October 15","0","0","0","0","0"
"October 16","0","0","0","0","0"
"October 17","0","0","0","0","0"
"October 18","0","0","0","0","0"
"October 19","0","0","0","0","0"
"October 20","0","0","0","0","0"
"October 21","0","0","0","0","0"
"October 22","0","0","0","0","0"
"October 23","0","0","0","0","0"
"October 24","0","0","0","0","0"
"October 25","0","0","0","0","0"
"October 26","0","0","0","0","0"
"October 27","0","0","0","0","0"
"October 28","0","0","0","0","0"
"October 29","0","0","0","0","0"
"October 30","0","0","0","0","0"
"October 31","0","0","0","0","0"
"November 1","0","0","0","0","0"
"November 2","0","0","0","0","0"
"November 3","0","0","0","0","0"
"November 4","0","0","0","0","0"
"November 5","0","0","0","0","0"
"November 6","0","0","0","0","0"
"November 7","0","0","0","0","0"
"November 8","0","0","0","0","0"
"November 9","0","0","0","0","0"
"November 10","0","0","0","0","0"
"November 11","0","0","0","0","0"
"November 12","1","0","0","0","0"
"November 13","0","0","0","0","0"
"November 14","0","0","0","0","0"
"November 15","0","0","0","0","0"
"November 16","1","0","0","0","0"
"November 17","0","0","0","0","0"
"November 18","1","0","0","0","0"
"November 19","0","0","0","0","0"
"November 20","2","0","0","0","0"
"November 21","1","0","0","0","0"
"November 22","1","0","0","0","0"
"November 23","0","0","0","0","0"
"November 24","0","0","0","0","0"
"November 25","0","0","0","0","0"
"November 26","1","0","0","0","0"
"November 27","1","0","0","0","0"
"November 28","0","0","0","0","0"
"November 29","0","0","0","0","0"
"November 30","0","0","0","0","0"
"December 1","0","0","0","0","0"
"December 2","0","0","0","0","0"
"December 3","0","0","0","0","0"
"December 4","0","0","0","0","0"
"December 5","0","0","0","0","0"
"December 6","0","0","0","0","0"
"December 7","0","0","0","0","0"
"December 8","2","0","0","0","0"
"December 9","0","0","0","0","0"
"December 10","2","0","0","0","0"
"December 11","0","0","0","0","0"
"December 12","0","0","0","0","0"
"December 13","1","0","0","0","0"
"December 14","0","0","0","0","0"
"December 15","2","0","0","0","0"
"December 16","0","0","0","0","0"
"December 17","1","0","0","0","0"
"December 18","0","0","0","0","0"
"December 19","0","0","0","0","0"
"December 20","0","0","0","0","0"
"December 21","1","0","0","0","0"
"December 22","0","0","0","0","0"
"December 23","0","0","0","0","0"
"December 24","0","0","0","0","0"
"December 25","0","0","0","0","0"
"December 26","0","0","0","0","0"
"December 27","0","0","0","0","0"
"December 28","0","0","0","0","0"
"December 29","1","0","0","0","0"
"December 30","0","0","0","0","0"
"December 31","0","0","0","0","0"
"January 1","0","0","0","0","0"
"January 2","0","0","0","0","0"
"January 3","0","0","0","0","0"
"January 4","0","0","0","0","0"
"January 5","0","0","0","0","0"
"January 6","0","0","0","0","0"
"January 7","0","0","0","0","0"
"January 8","1","0","0","0","0"
"January 9","0","0","0","0","0"
"January 10","0","0","0","0","0"
"January 11","0","0","0","0","0"
"January 12","0","0","0","0","0"
"January 13","0","0","0","0","0"
"January 14","0","0","0","0","0"
"January 15","0","0","0","0","0"
"January 16","0","0","0","0","0"
"January 17","0","0","0","0","0"
"January 18","0","0","0","0","0"
"January 19","1","0","1","0","0"
"January 20","0","0","0","0","0"
"January 21","0","0","0","0","0"
"January 22","0","0","0","0","0"
"January 23","0","0","0","0","0"
"January 24","0","0","0","0","0"
"January 25","0","0","0","0","0"
"January 26","0","0","0","0","0"
"January 27","0","0","0","0","0"
"January 28","0","0","0","0","0"
"January 29","0","0","0","0","0"
"January 30","0","0","0","0","0"
"January 31","0","0","0","0","0"
"February 1","0","0","0","0","0"
"February 2","0","0","0","0","0"
"February 3","0","0","0","0","0"
"February 4","0","0","0","0","0"
"February 5","0","0","0","0","0"
"February 6","0","0","0","0","0"
"February 7","0","0","0","0","0"
"February 8","0","0","0","0","0"
"February 9","0","0","0","0","0"
"February 10","0","0","0","0","0"
"February 11","1","0","0","0","0"
"February 12","0","0","0","0","0"
"February 13","0","0","0","0","0"
"February 14","0","0","0","0","0"
"February 15","0","0","0","0","0"
"February 16","0","0","0","0","0"
"February 17","0","0","0","0","0"
"February 18","0","0","0","0","0"
"February 19","0","0","0","0","0"
"February 20","0","0","0","0","0"
"February 21","0","0","0","0","0"
"February 22","0","0","0","0","0"
"February 23","1","0","0","0","0"
"February 24","0","0","0","0","0"
"February 25","0","0","0","0","0"
"February 26","0","0","0","0","0"
"February 27","3","0","0","0","0"
"February 28","1","0","0","0","0"
"March 1","0","0","0","0","0"
"March 2","0","0","0","0","0"
"March 3","1","0","0","0","0"
"March 4","0","0","0","0","0"
"March 5","0","0","0","0","0"
"March 6","0","0","0","0","0"
"March 7","0","0","0","0","0"
"March 8","0","0","0","0","0"
"March 9","0","0","0","0","0"
"March 10","0","0","0","0","0"
"March 11","1","0","0","0","0"
"March 12","1","0","0","0","0"
"March 13","0","0","0","0","0"
"March 14","1280","7","15","1","5"
"March 15","24","0","0","0","0"
